description,category,clean_description
banana,food,banana
biscuit,food,biscuit
books,education,books
bread,food,bread
breakfast,food,breakfast
brownie,food,brownie
brunch,food,brunch
bun,food,bun
cakepark,food,cakepark
car payment,transportation,car payment
car wash,transportation,car wash
chocolate ,food,chocolate
clothes,shopping,clothes
clothing purchase,shopping,clothing purchase
coconut water ,food,coconut water
coffee ,food,coffee
concerts,entertainment,concerts
corn,food,corn
creamstone,food,creamstone
dairy milk,food,dairy milk
dentist,health,dentist
dinner,food,dinner
doctor,health,doctor
drinks,food,drinks
eggs,food,eggs
electricity bill,utilities,electricity bill
entertainment,entertainment,entertainment
eye glasses,health,eye glasses
five star,food,five star
fruit,food,fruit
gas station,transportation,gas station
gasoline,fuel,gasoline
good soup,food,good soup
grocery Shopping,groceries,grocery shopping
gym,fitness,gym
haircut,personal care,haircut
horlicks ,food,horlicks
hospital,health,hospital
ice cream,food,ice cream
internet bill,utilities,internet bill
ketch up,food,ketch
kfc,food,kfc
lemon tea ,food,lemon tea
lunch,food,lunch
manicure,personal care,manicure
mcdonald's ,food,mcdonald
medical ,health,medical
milk,food,milk
momos,food,momos
mortage,housing,mortage
movie tickets,entertainment,movie tickets
pani poori,food,pani poori
panipuri,food,panipuri
parking,transportation,parking
parotta,food,parotta
pedicure,personal care,pedicure
pepsi,food,pepsi
phone bill,utilities,phone bill
pizza,food,pizza
public transportation,transportation,public transportation
puffs,food,puffs
ramen with gobi,food,ramen gobi
random stuff for drinks,food,random stuff drinks
rent  ,housing,rent
rent payment,housing,rent payment
restaurant bill,dining,restaurant bill
shawarma,food,shawarma
shoes,personal care,shoes
side dishes,food,side dishes
snack,food,snack
snacks,food,snacks
subway fare,transportation,subway fare
tamen,food,tamen
tea lights,food,tea lights
tolls,transportation,tolls
travel,transportation,travel
uber,transportation,uber
vacations,travel,vacations
vadapaav,food,vadapaav
vegetables,food,vegetables
water,food,water
meal,food,meal
zomato,food,zomato
metro,transportation,metro
auto,transportation,auto
bus ticket,transportation,bus ticket
rapido,transportation,rapido
cab,transportation,cab
taxi,transportation,taxi
hoodie,shopping,hoodie
cap,shopping,cap
earphone,shopping,earphone
belt,shopping,belt
mask,health,mask
showergel,personal care,showergel
shoes,shopping,shoes
mirror,shopping,mirror
bean bag,shopping,bean bag
bus ticket,transportation,bus ticket
medical expenses,health,medical expenses
car payment,transportation,car payment
internet,utilities,internet
phone,utilities,phone
health insurance,health,health insurance
insurance,transportation,insurance
